kn_gu,model,smoothing_cells,activity_threshold,common_mask_cells,Jaccard,Dice,precision,recall,q_common_E,q_common_C,q_common_G,q_common_angle_weighted_deg,q_common_angle_median_deg,q_common_angle_p90_deg
0.2,R26,7,0.03,18608,0.5991399272246113,0.74932770675603,0.7453497942386831,0.7533483071291905,0.3609975166097796,0.9359226188369992,1.0151081948539424,11.587371403628678,8.114107151332377,22.011910421842366
0.2,R13,7,0.05,12615,0.0995885641945353,0.1811378681761489,0.3998305802626006,0.11709253287025552,0.6195373431094227,0.8225968091281166,1.0685480845768147,27.368347246329115,21.54740028555363,58.42666522741018
0.2,R26,7,0.05,12615,0.5694471200154113,0.7256658892843991,0.718172983479106,0.7333167948399901,0.3587320276358926,0.9362818308017257,1.009167593068371,11.713492327584287,8.36140488466923,21.718509729929114
0.2,R13,7,0.07,8188,0.09056144620198157,0.16608224418233983,0.35782967032967034,0.10813615608136157,0.6320611871809545,0.8115733015847287,1.0527217375857416,28.850188328541435,23.673757723404776,59.666865239428205
0.2,R26,7,0.07,8188,0.5253164556962026,0.6887966804979253,0.6572398190045249,0.7235367372353674,0.36623891897539174,0.9338445488561871,1.0125629533158784,12.050133269227636,8.704870605032799,22.27164962476866
0.2,R13,7,0.1,4144,0.10225505443234836,0.1855379188712522,0.3058139534883721,0.1331645569620253,0.7067763849366312,0.7594932380009675,1.0358315033087018,34.86980341718003,31.330681915376626,62.935591251697424
0.2,R26,7,0.1,4144,0.392327530625403,0.5635563787913869,0.51919795221843,0.6162025316455696,0.3887130459319682,0.9286915770975714,1.045164223885062,12.691148600748772,8.308258960821354,21.573014035508063
0.2,R13,9,0.03,18802,0.14645776566757493,0.25549613784907904,0.4802322984141166,0.17404679025337974,0.6260566101568845,0.8232094002358313,1.0870665505231916,26.9609613508123,20.676225873937767,60.6743077843319
0.2,R26,9,0.03,18802,0.6488638570596232,0.7870435806831566,0.7641228939544104,0.8113818505626164,0.35784813383013514,0.937133546532346,1.0163457357585204,11.52066021864939,8.086787785210797,22.094320705874168
0.2,R13,9,0.05,12883,0.10607255520504733,0.19180035650623886,0.40466340729597594,0.1256862516061208,0.6136588505810102,0.8266365764497806,1.0713919940017131,26.98875320042922,21.3456890737802,57.070664168606925
0.2,R26,9,0.05,12883,0.6407632743362832,0.7810551154559245,0.7524355921195064,0.8119378577269011,0.352047268635821,0.9386557391637509,1.0094503436120394,11.554822225284909,8.40343190331832,21.6269080532068
0.2,R13,9,0.07,8616,0.08951406649616368,0.1643192488262911,0.34782608695652173,0.10756819054936612,0.621448097414975,0.8180476989475043,1.0534192680334895,28.282902438083998,23.567007371786588,58.86830170066946
0.2,R26,9,0.07,8616,0.5887549074593382,0.7411525902391669,0.6855510204081633,0.8065693430656934,0.3579984166517488,0.9367621056725515,1.0121683981767693,11.796002024838394,8.603726135060022,21.333030171891565
0.2,R13,9,0.1,4584,0.11050102951269733,0.19901112484548825,0.33402489626556015,0.14172535211267606,0.6840412041304641,0.7748004221085882,1.0360054432086838,33.24035006318458,30.077036697893057,62.32019298759198
0.2,R26,9,0.1,4584,0.4157998313185268,0.5873709293089754,0.5350940665701881,0.6509683098591549,0.3704639490547341,0.9345378211637194,1.037515861224018,12.200719249484292,8.403010191220115,20.19763788472556
0.2,R13,11,0.03,19481,0.15202420029606745,0.26392535895860103,0.4910602910602911,0.18045687218274886,0.6274583496728103,0.8233544234671462,1.090966992710527,26.960758930211064,20.490621687166744,60.933665859421865
0.2,R26,11,0.03,19481,0.6832559579077685,0.8118265730151142,0.7826148610323312,0.8433035373214149,0.35499141728370065,0.9383158746987503,1.0186625426867342,11.443017531472544,7.991889185519964,22.028206369037978
0.2,R13,11,0.05,13738,0.10317887931034483,0.18705738705738706,0.3990969086488364,0.12215607059323835,0.6106049190165893,0.8295590531863363,1.0765541742933464,26.67333990372107,20.999717305084783,56.448263451803896
0.2,R26,11,0.05,13738,0.6859469086591468,0.8137230242969968,0.7722715554282441,0.8598766744631087,0.3473513153005293,0.9403818810585121,1.0108873309482447,11.406444058899408,8.296457710260222,21.3065775384082
0.2,R13,11,0.07,9457,0.08919527293190771,0.16378196848359597,0.3528102392877017,0.10664423885618167,0.6131024302104616,0.8243864864932396,1.059987142355319,27.571436384057158,23.2033643952445,57.99865113932949
0.2,R26,11,0.07,9457,0.6438080884199949,0.7833129584352079,0.7176256474870503,0.8622371740958789,0.34734508375904893,0.9403114415856993,1.009839956517033,11.527030729559538,8.552201985985203,21.05049239122512
0.2,R13,11,0.1,5301,0.10433796427558832,0.1889602053915276,0.34232558139534885,0.13049645390070921,0.6604775676779945,0.7912161102642974,1.0407227245004829,31.507665155407018,27.97581086671137,61.69500987247573
0.2,R26,11,0.1,5301,0.5373376623376623,0.6990496304118268,0.6082961407193489,0.8216312056737589,0.3546097978001907,0.9393381827487194,1.0293622365652328,11.813984887984994,8.452574785404003,19.1543269452824
