x_over_L,macro_slip_over_Uwall,macro_T_K,micro_slip_over_Uwall,micro_T_K
6.899999999999999467e-01,4.330104118759705578e-01,3.080501845819322853e+02,6.218060926557459345e-01,3.110896912284123914e+02
7.099999999999999645e-01,4.195950615994789024e-01,2.978092188558180737e+02,8.047933337990466063e-01,2.940172970519026308e+02
7.299999999999999822e-01,3.965071690937838067e-01,3.060199073069733799e+02,7.634718762764614031e-01,3.084138318604325377e+02
7.500000000000000000e-01,4.217919413094163850e-01,3.086540259223889962e+02,6.288008806340400492e-01,3.174049952438714399e+02
7.700000000000000178e-01,4.374539209356666514e-01,3.009298338359542413e+02,5.706975418863308169e-01,2.884612667371449106e+02
7.900000000000000355e-01,4.407439158935416157e-01,3.006774870056191844e+02,5.941118456971827833e-01,3.110831950949092857e+02
8.100000000000000533e-01,4.739922963395158395e-01,3.073564943161647989e+02,9.783566131850068848e-01,3.204104718643470164e+02
8.299999999999999600e-01,4.684294714046673969e-01,3.031119328846403391e+02,1.011572866311734487e+00,3.291019683613333768e+02
8.499999999999999778e-01,4.616786023065256317e-01,3.022236172709411335e+02,6.524207148702393377e-01,2.915341281377538962e+02
8.699999999999999956e-01,4.663308778643165953e-01,3.109917502783346777e+02,1.008221411569191206e+00,3.112018290713174338e+02
8.900000000000000133e-01,5.002601632713783442e-01,3.070327150398118192e+02,7.534355944476270883e-01,2.914518777405895662e+02
9.100000000000000311e-01,5.596119606761944532e-01,3.094152536077592686e+02,6.451499019684728831e-01,3.166873302266671999e+02
9.300000000000000488e-01,6.747361190877149140e-01,3.069020272699660836e+02,1.022979017943574931e+00,3.000199282462057226e+02
9.499999999999999556e-01,7.193226394695215742e-01,3.030913434498524452e+02,1.030433173407498515e+00,2.972727698853600486e+02
9.699999999999999734e-01,8.213850989470370401e-01,3.055994866049277334e+02,9.603111686298662075e-01,3.122653701632294201e+02
9.899999999999999911e-01,9.250753712717743049e-01,2.970936153913331736e+02,1.265553705687514796e+00,3.015643361460166147e+02
