x_over_L,u_mean_over_Ulid,u_CI95_halfwidth_over_Ulid,slip_mean_over_Ulid,slip_CI95_halfwidth,temperature_mean_K,temperature_CI95_halfwidth_K,u_mean_11cell_over_Ulid,slip_mean_11cell_over_Ulid,temperature_mean_11cell_K
3.125000000000000555e-01,6.437539999999999374e-01,3.236957711359269435e-02,3.562460000000000071e-01,3.236957711359269435e-02,3.106740000000000350e+02,3.368222344306173621e+00,6.317852727272728064e-01,3.682147272727273601e-01,3.107598181818182184e+02
3.175000000000000044e-01,6.416553333333332443e-01,3.406162093204790492e-02,3.583446666666667002e-01,3.406162093204789104e-02,3.116400000000000432e+02,3.614422931562496277e+00,6.339147272727272409e-01,3.660852727272727591e-01,3.108478787878788125e+02
3.225000000000000089e-01,6.398833333333333595e-01,5.704883957011241090e-03,3.601166666666666405e-01,5.704883957011307009e-03,3.106519999999999868e+02,5.364502146709567931e+00,6.359868181818181254e-01,3.640131818181817636e-01,3.108474848484848962e+02
3.275000000000000133e-01,6.356503333333333172e-01,3.463410360026277987e-03,3.643496666666667383e-01,3.463410360026291431e-03,3.108886666666666656e+02,2.718561970083710921e+00,6.370317878787878918e-01,3.629682121212121637e-01,3.106896666666667102e+02
3.325000000000000178e-01,6.294656666666665901e-01,5.023136122127768929e-03,3.705343333333333544e-01,5.023136122127796685e-03,3.104420000000000073e+02,4.963617344769769346e+00,6.394630606060605071e-01,3.605369393939393818e-01,3.108029696969697397e+02
3.375000000000000222e-01,6.272739999999999982e-01,1.314617600114159623e-02,3.727259999999999462e-01,1.314617600114161705e-02,3.110446666666666715e+02,1.490684104602647331e+00,6.393975454545454129e-01,3.606024545454545316e-01,3.107144242424242293e+02
3.425000000000000266e-01,6.407663333333333266e-01,3.172463019884666328e-03,3.592336666666666178e-01,3.172463019884715768e-03,3.114866666666666788e+02,4.646238985088117168e+00,6.391714545454545426e-01,3.608285454545454574e-01,3.106837878787878822e+02
3.475000000000000311e-01,6.468663333333333210e-01,2.040023291736197883e-02,3.531336666666666790e-01,2.040023291736195801e-02,3.111013333333333435e+02,3.086697132079113448e+00,6.395995757575758667e-01,3.604004242424242443e-01,3.104072424242423835e+02
3.525000000000000355e-01,6.393403333333332883e-01,2.323260551938522919e-02,3.606596666666666562e-01,2.323260551938520144e-02,3.093623333333333107e+02,3.945324792092522070e+00,6.409212121212121138e-01,3.590787878787878862e-01,3.104093333333333362e+02
3.575000000000000400e-01,6.497983333333333666e-01,3.002700021343567352e-02,3.502016666666666889e-01,3.002700021343563189e-02,3.109519999999999982e+02,2.825458495430759331e+00,6.426742727272727329e-01,3.573257272727273226e-01,3.103784242424242166e+02
3.625000000000000444e-01,6.389190000000000147e-01,4.613929213406382096e-03,3.610809999999999853e-01,4.613929213406378627e-03,3.096150000000000091e+02,3.233083043445064586e+00,6.452105151515152848e-01,3.547894848484848263e-01,3.105520606060605928e+02
3.674999999999999933e-01,6.412670000000001425e-01,2.529607702128272920e-02,3.587329999999999686e-01,2.529607702128271879e-02,3.103369999999999891e+02,3.343383587320718053e+00,6.480624242424242176e-01,3.519375757575757824e-01,3.106535757575757657e+02
3.724999999999999978e-01,6.463646666666665874e-01,1.114201377733160976e-02,3.536353333333333571e-01,1.114201377733164446e-02,3.085980000000000132e+02,1.781824724945504590e+00,6.496658787878789587e-01,3.503341212121211523e-01,3.106611515151515164e+02
3.775000000000000022e-01,6.544213333333332994e-01,2.023286313369645345e-02,3.455786666666667006e-01,2.023286313369643263e-02,3.106750000000000114e+02,1.606251973293512769e+00,6.507056363636364305e-01,3.492943636363636806e-01,3.107450000000000614e+02
3.825000000000000067e-01,6.549339999999999051e-01,4.651631462865989802e-02,3.450660000000000394e-01,4.651631462865992578e-02,3.105486666666666338e+02,4.092172111103690391e+00,6.522472121212120610e-01,3.477527878787878834e-01,3.108696969696970314e+02
3.875000000000000111e-01,6.573643333333332173e-01,2.050794332674229711e-02,3.426356666666667272e-01,2.050794332674229711e-02,3.123520000000000323e+02,1.827894968835449774e+00,6.524828484848486099e-01,3.475171515151515012e-01,3.109250606060606401e+02
3.925000000000000155e-01,6.586450000000000360e-01,2.762816720475699470e-02,3.413549999999999085e-01,2.762816720475694612e-02,3.121613333333333458e+02,4.270961238776811442e+00,6.533155757575758171e-01,3.466844242424242939e-01,3.111031212121212093e+02
3.975000000000000200e-01,6.584043333333333692e-01,2.528948996059889737e-02,3.415956666666666308e-01,2.528948996059890778e-02,3.115699999999999932e+02,7.151108937971399904e+00,6.543499999999999872e-01,3.456499999999999573e-01,3.112900606060605924e+02
4.025000000000000244e-01,6.583036666666667314e-01,3.134434144909548775e-02,3.416963333333333241e-01,3.134434144909553632e-02,3.120236666666666565e+02,3.849892817540856438e+00,6.550288787878788543e-01,3.449711212121212567e-01,3.115639393939393926e+02
4.075000000000000289e-01,6.562976666666666681e-01,2.359730234412879546e-02,3.437023333333333319e-01,2.359730234412885791e-02,3.107339999999999804e+02,5.180312288048777525e+00,6.548493333333333943e-01,3.451506666666666612e-01,3.115386969696969572e+02
4.125000000000000333e-01,6.523903333333334054e-01,1.103150608181178299e-02,3.476096666666666501e-01,1.103150608181174309e-02,3.115609999999999786e+02,7.280685137290038300e-02,6.549846363636365743e-01,3.450153636363635368e-01,3.115054545454545405e+02
4.175000000000000377e-01,6.480790000000000717e-01,6.167348540263709218e-03,3.519209999999999838e-01,6.167348540263739576e-03,3.115736666666666679e+02,1.529239156855624504e+00,6.539051818181819131e-01,3.460948181818181424e-01,3.112087272727272875e+02
